did,handle,displayName,avatar,followDt,lastPostUri,lastPostDt
did:plc:cpoufjclyzb2i4vsspfhcfs4,sarahboev.bsky.social,Sarah Boeving,https://av-cdn.bsky.app/img/avatar/plain/did:plc:cpoufjclyzb2i4vsspfhcfs4/bafkreihqx6cfbc3x3kk4husvvcefwb5lrgikwtb3a6sezlslpspyl6jd4e@jpeg,2023-08-25T06:34:18.402Z,at://did:plc:cpoufjclyzb2i4vsspfhcfs4/app.bsky.feed.post/3k5wh6jnesk2w,Sun Aug 27 2023 04:22:57 GMT-0400 (Eastern Daylight Time)
did:plc:4pxxuyafjlglickstccj3do5,georgialux.bsky.social,georgia-lux,https://av-cdn.bsky.app/img/avatar/plain/did:plc:4pxxuyafjlglickstccj3do5/bafkreiafkkvwufawcnl7evw3nxpbhjzagb5q6bot2adsoaepdsuiekppzq@jpeg,2023-07-30T17:02:39.135Z,at://did:plc:4pxxuyafjlglickstccj3do5/app.bsky.feed.post/3k62xxzlbw227,Mon Aug 28 2023 23:34:12 GMT-0400 (Eastern Daylight Time)
did:plc:idys2fkzhar72b2r2d3guubx,steelydad.bsky.social,I.G.Y. Azalea,https://av-cdn.bsky.app/img/avatar/plain/did:plc:idys2fkzhar72b2r2d3guubx/bafkreihawwgot7cyg4fvoeduxxwhon6di5sasn25hww25bjsd4plsbpnu4@jpeg,2023-07-03T03:28:49.285Z,at://did:plc:idys2fkzhar72b2r2d3guubx/app.bsky.feed.post/3k62th7d4322n,Mon Aug 28 2023 22:13:11 GMT-0400 (Eastern Daylight Time)
did:plc:l5o3qjrmfztir54cpwlv2eme,legalcat.bsky.social,kelly! under the weighted blanket,https://av-cdn.bsky.app/img/avatar/plain/did:plc:l5o3qjrmfztir54cpwlv2eme/bafkreig4fq3bgbi5gm4etcrb3arqwttunoqsvxkpego3kygsy7asjcja4m@jpeg,2023-08-28T22:39:57.185Z,at://did:plc:l5o3qjrmfztir54cpwlv2eme/app.bsky.feed.post/3k62xs2tkv22r,Mon Aug 28 2023 23:30:51 GMT-0400 (Eastern Daylight Time)
did:plc:ehyz54jo2bizekya5zolbf5g,troglodytegeorge.bsky.social,troglodyte george,https://av-cdn.bsky.app/img/avatar/plain/did:plc:ehyz54jo2bizekya5zolbf5g/bafkreibapsk5gf2djszv7b4psdlece24vj2f4nbzqgnbw5v6vyuf6cebzy@jpeg,2023-07-18T23:51:26.924Z,at://did:plc:4f5uouygx2tvbdhst5lvhy2l/app.bsky.feed.post/3k62dha5w5l27,Mon Aug 28 2023 17:46:41 GMT-0400 (Eastern Daylight Time)
did:plc:zkw6jpx34txyltnoclyqi6tp,mcs212.bsky.social,Mike Schuster,https://av-cdn.bsky.app/img/avatar/plain/did:plc:zkw6jpx34txyltnoclyqi6tp/bafkreibb6q22drieqmvntj4p2khfn4f27v4tj3gna7rpojurlzhpyrx54i@jpeg,2023-07-31T18:16:01.012Z,at://did:plc:alybd2sm6xv3joplqz2f3vqu/app.bsky.feed.post/3k62rcgyr6m25,Mon Aug 28 2023 22:38:01 GMT-0400 (Eastern Daylight Time)
did:plc:7jttsgffa5v5zrpa2fohszvj,boshyboo.bsky.social,c______z,https://av-cdn.bsky.app/img/avatar/plain/did:plc:7jttsgffa5v5zrpa2fohszvj/bafkreiestd647vj2uaswkykpjhmfvxejhfuoe2telqunq2tyn56tpg4abm@jpeg,2023-08-16T13:18:07.035Z,at://did:plc:7jttsgffa5v5zrpa2fohszvj/app.bsky.feed.post/3k62bwspige27,Mon Aug 28 2023 16:59:47 GMT-0400 (Eastern Daylight Time)
did:plc:3ezzq6c54fowgwml4t4g6uiq,cabanarama.bsky.social,Cabana Macabre ,https://av-cdn.bsky.app/img/avatar/plain/did:plc:3ezzq6c54fowgwml4t4g6uiq/bafkreid7q4hwpjrmawekyoft7vnxhfdm3fmz7dz4y5o5u6xgixlzgrcpfa@jpeg,2023-07-22T21:06:37.880Z,at://did:plc:wb7e25k3gnho4oyn35dfu7vy/app.bsky.feed.post/3k5zpqc6az523,Mon Aug 28 2023 12:20:31 GMT-0400 (Eastern Daylight Time)
did:plc:dzzwatgvhjfsunbhkhhxdmtt,chelfaust.bsky.social,chel✨,https://av-cdn.bsky.app/img/avatar/plain/did:plc:dzzwatgvhjfsunbhkhhxdmtt/bafkreifr6ewjocknnzzwiludrjwh3kf3yxb7rotmnnsxvjao5rea2vtuly@jpeg,2023-07-05T17:35:35.483Z,at://did:plc:wr4tgzjdb2vznwrr2oa5nxmr/app.bsky.feed.post/3k5iawwrtqz2v,Fri Aug 25 2023 10:30:56 GMT-0400 (Eastern Daylight Time)
did:plc:wstqlnscr7whjxvf4fo35hdi,antreject.bsky.social,ant reject,https://av-cdn.bsky.app/img/avatar/plain/did:plc:wstqlnscr7whjxvf4fo35hdi/bafkreidq3djrrtox2xoco3pegs7dz6jxwmxaovgrla7lqfc3gfr5da27sy@jpeg,2023-08-12T18:16:22.577Z,at://did:plc:wstqlnscr7whjxvf4fo35hdi/app.bsky.feed.post/3k5zpeycpes2x,Mon Aug 28 2023 11:27:42 GMT-0400 (Eastern Daylight Time)
